cut_no,remove_in,remove_out,remove_in_tc60,remove_out_tc60,duration_sec
1,0:00:00.000,0:00:36.428,00:00:00:00,00:00:36:26,36.428
2,0:00:43.030,0:00:52.487,00:00:43:02,00:00:52:29,9.457
3,0:01:03.920,0:01:24.400,00:01:03:55,00:01:24:24,20.480
4,0:01:35.861,0:01:48.870,00:01:35:52,00:01:48:52,13.009
5,0:02:11.413,0:02:23.523,00:02:11:25,00:02:23:31,12.110
6,0:02:31.850,0:02:36.372,00:02:31:51,00:02:36:22,4.522
7,0:02:41.670,0:03:21.586,00:02:41:40,00:03:21:35,39.916
8,0:03:30.520,0:03:39.524,00:03:30:31,00:03:39:31,9.004
9,0:03:44.974,0:03:54.854,00:03:44:58,00:03:54:51,9.880
10,0:04:12.730,0:04:25.689,00:04:12:44,00:04:25:41,12.959
11,0:04:32.400,0:04:43.030,00:04:32:24,00:04:43:02,10.630
12,0:04:51.003,0:05:32.260,00:04:51:00,00:05:32:16,41.257
13,0:05:41.380,0:05:51.656,00:05:41:23,00:05:51:39,10.276
14,0:06:00.230,0:06:10.200,00:06:00:14,00:06:10:12,9.970
15,0:06:18.320,0:06:45.690,00:06:18:19,00:06:45:41,27.370
16,0:07:03.050,0:08:05.453,00:07:03:03,00:08:05:27,62.403
17,0:08:16.508,0:08:23.389,00:08:16:30,00:08:23:23,6.881
18,0:08:32.300,0:08:33.780,00:08:32:18,00:08:33:47,1.480
19,0:08:48.950,0:08:50.675,00:08:48:57,00:08:50:40,1.725
20,0:08:57.730,0:09:32.490,00:08:57:44,00:09:32:29,34.760
21,0:09:48.530,0:09:49.175,00:09:48:32,00:09:49:10,0.645
22,0:09:58.360,0:10:03.293,00:09:58:22,00:10:03:18,4.933
23,0:10:10.210,0:10:31.111,00:10:10:13,00:10:31:07,20.901
24,0:10:37.484,0:10:41.647,00:10:37:29,00:10:41:39,4.163
25,0:10:53.650,0:10:58.010,00:10:53:39,00:10:58:01,4.360
26,0:11:05.090,0:11:33.320,00:11:05:05,00:11:33:19,28.230
27,0:11:39.874,0:11:51.870,00:11:39:52,00:11:51:52,11.996
28,0:11:56.270,0:12:05.000,00:11:56:16,00:12:05:00,8.730
29,0:12:13.130,0:12:20.480,00:12:13:08,00:12:20:29,7.350
30,0:12:30.200,0:12:41.229,00:12:30:12,00:12:41:14,11.029
31,0:12:48.400,0:12:54.446,00:12:48:24,00:12:54:27,6.046
32,0:12:57.564,0:13:37.200,00:12:57:34,00:13:37:12,39.636
33,0:13:47.880,0:13:56.912,00:13:47:53,00:13:56:55,9.032
34,0:14:03.150,0:14:12.861,00:14:03:09,00:14:12:52,9.711
35,0:14:18.533,0:14:19.698,00:14:18:32,00:14:19:42,1.165
36,0:14:27.227,0:14:43.888,00:14:27:14,00:14:43:53,16.661
37,0:14:49.220,0:15:07.964,00:14:49:13,00:15:07:58,18.744
38,0:15:19.257,0:15:24.635,00:15:19:15,00:15:24:38,5.378
39,0:15:32.802,0:15:36.563,00:15:32:48,00:15:36:34,3.761
40,0:15:42.980,0:15:47.344,00:15:42:59,00:15:47:21,4.364
41,0:15:53.902,0:16:11.790,00:15:53:54,00:16:11:47,17.888
42,0:16:19.386,0:16:31.600,00:16:19:23,00:16:31:36,12.214
43,0:16:35.040,0:16:45.973,00:16:35:02,00:16:45:58,10.933
44,0:16:52.220,0:17:02.930,00:16:52:13,00:17:02:56,10.710
45,0:17:12.819,0:17:20.310,00:17:12:49,00:17:20:19,7.491
46,0:17:33.181,0:17:40.930,00:17:33:11,00:17:40:56,7.749
47,0:17:48.250,0:17:49.719,00:17:48:15,00:17:49:43,1.469
48,0:18:05.180,0:18:41.806,00:18:05:11,00:18:41:48,36.626
49,0:18:58.930,0:19:03.099,00:18:58:56,00:19:03:06,4.169
50,0:19:14.931,0:19:30.354,00:19:14:56,00:19:30:21,15.423
51,0:19:37.360,0:20:22.430,00:19:37:22,00:20:22:26,45.070
52,0:20:32.640,0:20:36.460,00:20:32:38,00:20:36:28,3.820
53,0:20:41.732,0:20:54.192,00:20:41:44,00:20:54:12,12.460
54,0:21:04.668,0:21:13.087,00:21:04:40,00:21:13:05,8.419
55,0:21:27.747,0:21:49.021,00:21:27:45,00:21:49:01,21.274
56,0:21:51.942,0:22:10.590,00:21:51:57,00:22:10:35,18.648
57,0:22:15.209,0:22:50.990,00:22:15:13,00:22:50:59,35.781
58,0:23:03.653,0:23:09.063,00:23:03:39,00:23:09:04,5.410
59,0:23:17.310,0:23:19.910,00:23:17:19,00:23:19:55,2.600
60,0:23:26.190,0:23:31.941,00:23:26:11,00:23:31:56,5.751
61,0:23:41.000,0:24:19.422,00:23:41:00,00:24:19:25,38.422
62,0:24:29.080,0:24:36.921,00:24:29:05,00:24:36:55,7.841
63,0:24:44.510,0:25:01.993,00:24:44:31,00:25:02:00,17.483
64,0:25:07.210,0:25:28.230,00:25:07:13,00:25:28:14,21.020
65,0:25:36.300,0:25:53.540,00:25:36:18,00:25:53:32,17.240
66,0:25:57.049,0:26:06.015,00:25:57:03,00:26:06:01,8.966
67,0:26:13.481,0:26:20.016,00:26:13:29,00:26:20:01,6.535
68,0:26:23.860,0:26:47.176,00:26:23:52,00:26:47:11,23.316
69,0:26:52.869,0:27:17.848,00:26:52:52,00:27:17:51,24.979
70,0:27:23.867,0:27:36.022,00:27:23:52,00:27:36:01,12.155
71,0:27:47.129,0:28:04.680,00:27:47:08,00:28:04:41,17.551
72,0:28:09.812,0:28:15.188,00:28:09:49,00:28:15:11,5.376
73,0:28:28.602,0:28:42.332,00:28:28:36,00:28:42:20,13.730
74,0:28:47.624,0:28:53.427,00:28:47:37,00:28:53:26,5.803
75,0:28:59.800,0:29:18.397,00:28:59:48,00:29:18:24,18.597
76,0:29:22.989,0:29:33.017,00:29:22:59,00:29:33:01,10.028
77,0:29:42.174,0:30:10.850,00:29:42:10,00:30:10:51,28.676
78,0:30:17.910,0:30:21.890,00:30:17:55,00:30:21:53,3.980
79,0:30:31.910,0:30:34.440,00:30:31:55,00:30:34:26,2.530
80,0:30:39.240,0:30:57.217,00:30:39:14,00:30:57:13,17.977
81,0:31:04.960,0:31:11.860,00:31:04:58,00:31:11:52,6.900
82,0:31:16.080,0:31:33.867,00:31:16:05,00:31:33:52,17.787
83,0:31:42.313,0:32:05.975,00:31:42:19,00:32:05:58,23.662
84,0:32:11.677,0:32:26.067,00:32:11:41,00:32:26:04,14.390
85,0:32:33.024,0:32:47.700,00:32:33:01,00:32:47:42,14.676
86,0:32:50.520,0:32:58.220,00:32:50:31,00:32:58:13,7.700
87,0:33:04.960,0:33:24.587,00:33:04:58,00:33:24:35,19.627
88,0:33:28.440,0:33:30.060,00:33:28:26,00:33:30:04,1.620
