clip_no,src_in,src_out,src_in_tc60,src_out_tc60,duration_sec,transcript
1,0:00:36.428,0:00:43.030,00:00:36:26,00:00:43:02,6.602,"My name is Dez and I run a multi six figure e -commerce business out of my storage unit and my entire marketing team"
2,0:00:52.487,0:01:03.920,00:00:52:29,00:01:03:55,11.433,"two years ago I was stuck at zero guessing spending money on things that I thought will work just like everybody else and the gap between me and who I used to be two years ago is exactly what this video"
3,0:01:24.400,0:01:35.861,00:01:24:24,00:01:35:52,11.461,"you probably tried this yourself you probably tried to make a couple products You probably tried to make a website and you maybe got no sales And maybe even tried to post some content about your product and got no views"
4,0:01:48.870,0:02:11.413,00:01:48:52,00:02:11:25,22.543,"and I'm so short And I'm for sure that at some point in that journey that you probably start to ask yourself Is this for me or does this work and I'm here to tell you that it does work and you? And I know some part in that journey start to ask yourself. Does this work? Is this for me? Is it something that I could do? Is this real? And I'm here to tell you that all of those things are true."
5,0:02:23.523,0:02:31.850,00:02:23:31,00:02:31:51,8.327,"because I made every single one of those mistakes the most slowest and expensive way possible because I was doing it alone."
6,0:02:36.372,0:02:41.670,00:02:36:22,00:02:41:40,5.298,"I spent so much time and money and it's all down to drain because I didn't know what I was doing."
7,0:03:21.586,0:03:30.520,00:03:21:35,00:03:30:31,8.934,"My name is Dez I'm 20 years old and I run a brand called Cribit Centrals at my storage unit and just this year alone we've done multiple six figures in revenue."
8,0:03:39.524,0:03:44.974,00:03:39:31,00:03:44:58,5.450,"We also have multiple products that brought us tens of thousands of dollars just by themselves."
9,0:03:54.854,0:04:12.730,00:03:54:51,00:04:12:44,17.876,"In the one part that people never believe me when I say is that I'm using AI to actually help me run and the one part that people never believe is that I'm actually using AI to help me run and scale my business."
10,0:04:25.689,0:04:32.400,00:04:25:41,00:04:32:24,6.711,"the biggest reason to my success right now and none of this would be possible without AI."
11,0:04:43.030,0:04:51.003,00:04:43:02,00:04:51:00,7.973,"I used to waste so much time recording content that just end up never converting. And it's just like I was wasting so much time and so much money."
12,0:05:32.260,0:05:41.380,00:05:32:16,00:05:41:23,9.120,"And matter of fact, that same content that used to take me hours if not days to create takes me seconds to create now using AI."
13,0:05:51.656,0:06:00.230,00:05:51:39,00:06:00:14,8.574,"And on top of not just marketing, there's a lot of AI systems that I'm using right now to actually be able to help me scale my business smoothly"
14,0:06:10.200,0:06:18.320,00:06:10:12,00:06:18:19,8.120,"keep in mind I'm only one person I don't have a big team around me helping me it's just me and some simple AI systems helping me scale my business"
15,0:06:45.690,0:07:03.050,00:06:45:41,00:07:03:03,17.360,"the thing that kept me stuck for those two years while I wasn't getting any results is I was stuck trying to find another viral product or I was stuck trying to find another viral piece of content but that was not what I needed what I needed was some actual systems to actually help me run and scale my business professionally"
16,0:08:05.453,0:08:16.508,00:08:05:27,00:08:16:30,11.055,"Even when I started to get a couple sales here and there for my business, I was never able to actually get to that next level because I didn't have the proper systems in place to actually sustain me being able to scale."
17,0:08:23.389,0:08:32.300,00:08:23:23,00:08:32:18,8.911,"And the part is it wasn't even my fault. There's actually a lot of people out here right now giving a lot of different information and a lot of knowledge about e -commerce"
18,0:08:33.780,0:08:48.950,00:08:33:47,00:08:48:57,15.170,"little, and the fact is that it wasn't even my fault. There's a lot of people out here giving e -commerce game and knowledge about how to start an e -commerce business, but they're only giving you parts of the puzzle. Nobody's actually teaching you how to scale your business. Nobody's teaching"
19,0:08:50.675,0:08:57.730,00:08:50:40,00:08:57:44,7.055,"nobody's teaching you the proper systems to actually be placed inside your business so that you can actually take something small and scale"
20,0:09:32.490,0:09:48.530,00:09:32:29,00:09:48:32,16.040,"And the thing is it wasn't even my fault. There's a lot of people out here giving a lot of information and knowledge about how to start an e -commerce business using AI, but nobody's actually giving you the actual game, the actual systems, the full plan on how to actually grow a business using AI."
21,0:09:49.175,0:09:58.360,00:09:49:10,00:09:58:22,9.185,"They're only giving you, people are only giving you pieces of the puzzle, people are only giving you pieces of the puzzle on how to start a business using AI."
22,0:10:03.293,0:10:10.210,00:10:03:18,00:10:10:13,6.917,"And there's so much contradicting information that you probably don't know where to start, or maybe you already started and you don't know how to scale."
23,0:10:31.111,0:10:37.484,00:10:31:07,00:10:37:29,6.373,"And that's the very thing that's causing you to miss out on this opportunity right now."
24,0:10:41.647,0:10:53.650,00:10:41:39,00:10:53:39,12.003,"AI is becoming more and more popular and it's only so long before everybody starts to hop on this trend on how people are running their businesses using AI, how people are marketing their businesses using AI"
